Name,Processor,OS,Graphics,RAM,Storage,Display,Weight,Battery,Keyboard,Ports,Camera,Touchpad
"HP Laptop 15-fd1070nr 15.6"", Windows 11 Home,  Intel® Core™ 3, 8GB RAM, 256GB SSD, HD, Jet black",,,,,,,,,,,,
"HP Laptop 15-fd1071nr 15.6"", Windows 11 Home,  Intel® Core™ 5, 8GB RAM, 256GB SSD, FHD, Jet black",,,,,,,,,,,,
HP EliteBook 6 G1aN 14 Notebook Next Gen AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1aN 14 Notebook Next Gen AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1a 16 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PCTouch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PCTouch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
